Title,Index,Temp(C),Plg,volPlg,Olv,volOlv,Opx,volOpx,Cpx,volCpx,Hbl,volHbl,Amp,volAmp,Fe-Ti,volFe-Ti,rhm-Oxide,(vol%),Quartz(0:out/1:in),Biotite(0:out/1:in),Corundum(0:out/1:in),Water(0:out/1:in),Pressure,H2O
28,9,1036,70,28.9,71,1.1,74,1.7,73,13.7,0,0,0,0,0.206,3.6,0,0,0,0,0,0,500,2
28,10,1026,67,32.8,0,0,73,4.2,72,14.6,0,0,0,0,0.21,3.9,0,0,0,0,0,0,500,2
28,11,1016,65,35.9,0,0,72,4.8,72,15.2,0,0,0,0,0.215,4.1,0,0,0,0,0,0,500,2
28,12,1006,63,38.6,0,0,72,5.4,72,15.6,0,0,0,0,0.22,4.1,0,0,0,0,0,0,500,2
28,13,996,62,40.9,0,0,71,5.9,71,15.9,0,0,0,0,0.225,4.2,0,0,0,0,0,0,500,2
28,14,986,61,42.9,0,0,70,6.4,71,16.3,0,0,0,0,0.23,4.2,0,0,0,0,0,0,500,2
28,15,976,60,44.6,0,0,69,6.8,71,16.5,0,0,0,0,0.235,4.2,0,0,0,0,0,0,500,2
28,16,966,59,46.1,0,0,69,7.1,70,16.6,0,0,0,0,0.24,4.2,0,0,0,0,0,0,500,2
28,17,956,58,47.4,0,0,68,7.5,70,16.8,0,0,0,0,0.244,4.2,0,0,0,0,0,0,500,2
28,18,946,57,48.5,0,0,67,7.8,70,16.9,0,0,0,0,0.248,4.2,0,0,0,0,0,0,500,2
28,19,936,57,49.5,0,0,67,8.1,70,17,0,0,0,0,0.253,4.1,0,0,0,0,0,0,500,2
28,20,926,56,50.3,0,0,66,8.4,70,17,0,0,0,0,0.257,4.1,0,0,0,0,0,0,500,2
28,21,916,56,51.1,0,0,65,8.6,70,17.1,0,0,0,0,0.261,4.1,0,0,0,0,0,0,500,2
,,,,,,,,,,,,,,,,,,,,,,,,
29,1,1112,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
29,2,1102,83,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
29,3,1092,83,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
29,4,1082,82,7.5,76,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
29,5,1072,80,11.7,74,0.9,0,0,74,3.1,0,0,0,0,0.195,0.8,0,0,0,0,0,0,500,2
29,6,1062,77,16.1,73,1.4,0,0,73,6.2,0,0,0,0,0.202,1.7,0,0,0,0,0,0,500,2
29,7,1052,74,20.1,72,1.7,0,0,73,8.6,0,0,0,0,0.208,2.4,0,0,0,0,0,0,500,2
29,8,1042,71,24.4,71,0.6,74,2.2,73,10.6,0,0,0,0,0.212,3,0,0,0,0,0,0,500,2
29,9,1032,69,28.5,0,0,73,4,72,11.5,0,0,0,0,0.218,3.3,0,0,0,0,0,0,500,2
29,10,1022,67,31.9,0,0,72,4.8,72,12.2,0,0,0,0,0.224,3.5,0,0,0,0,0,0,500,2
29,11,1012,65,34.9,0,0,72,5.4,71,12.7,0,0,0,0,0.23,3.7,0,0,0,0,0,0,500,2
29,12,1002,63,37.5,0,0,71,5.9,71,13.2,0,0,0,0,0.235,3.8,0,0,0,0,0,0,500,2
29,13,992,62,39.7,0,0,70,6.4,71,13.5,0,0,0,0,0.241,3.9,0,0,0,0,0,0,500,2
29,14,982,61,41.6,0,0,69,6.8,70,13.9,0,0,0,0,0.246,3.9,0,0,0,0,0,0,500,2
29,15,972,59,43.4,0,0,68,7.2,70,14.1,0,0,0,0,0.251,3.9,0,0,0,0,0,0,500,2
29,16,962,59,44.8,0,0,68,7.5,70,14.3,0,0,0,0,0.256,3.9,0,0,0,0,0,0,500,2
29,17,952,58,46.1,0,0,67,7.9,70,14.5,0,0,0,0,0.261,3.9,0,0,0,0,0,0,500,2
29,18,942,57,47.2,0,0,66,8.2,69,14.6,0,0,0,0,0.266,3.9,0,0,0,0,0,0,500,2
29,19,932,57,48.2,0,0,66,8.5,69,14.7,0,0,0,0,0.271,3.8,0,0,0,0,0,0,500,2
29,20,922,56,49.1,0,0,65,8.7,69,14.8,0,0,0,0,0.276,3.8,0,0,0,0,0,0,500,2
29,21,912,56,49.8,0,0,64,9,69,14.9,0,0,0,0,0.28,3.7,0,0,0,0,0,0,500,2
,,,,,,,,,,,,,,,,,,,,,,,,
